地址,行政区,街道,总户数,lng,lat
古美八村,闵行,古美罗阳,1334,121.40853185829384,31.144721843328014
南部阳光翠庭,松江,松江新城,1320,121.22121773233656,31.044093457161477
佳欣苑,宝山,罗店,1320,121.34264348473128,31.400496981583245
嘉房景河名苑,嘉定,嘉定城区,1320,121.25192244348146,31.37710446878399
瑞和城二街区(汇延路59弄),闵行,浦江镇,1319,121.5222887765499,31.02735360596964
盛桥三村,宝山,月浦,1318,121.40761558667367,31.45523589651462
南新西园,浦东,外高桥,1314,121.5881132805907,31.334801250317916
招商花园城,宝山,杨行,1313,121.45443796477025,31.37572991023337
杏园,普陀,曹杨,1309,121.40880700927156,31.244239863192675
松云水苑,松江,松江大学城,1307,121.24416153302799,31.049891528903828
月浦九村,宝山,月浦,1307,121.42977588529932,31.421563568792767
绿地香颂(别墅),浦东,三林,1304,121.54796162938067,31.19831610934011
白洋苑,松江,松江老城,1303,121.22258459400054,31.02457817016534
保利林语溪(公寓),浦东,三林,1303,121.5437560324746,31.137587866279553
延吉东路131弄,杨浦,黄兴公园,1302,121.55148738867678,31.300192808141528
东方慧谷,嘉定,马陆,1295,121.29780447537019,31.338559112140857
和源馨苑,静安,西藏北路,1293,121.47391798924578,31.25465185414457
美罗家园宝欣苑九村,宝山,罗店,1292,121.3498739457811,31.39276185757175
珠江悦公馆,青浦,沪青平,1284,121.10646270682834,31.175868977503814
殷高小区,宝山,高境,1275,121.49601576580793,31.32863991045719
大华阳城花园,静安,阳城,1274,121.42973240731263,31.289727029254884
晶波坊,浦东,金桥,1268,121.58637308315677,31.291281449207126
三江小区,徐汇,龙华,1267,121.44639804062538,31.171070885220864
美罗家园美文苑,宝山,罗店,1260,121.34988795934706,31.393353920144143
嘉实上城名都(公寓),嘉定,安亭,1257,121.22697012150024,31.29329863096863
爱博五村,闵行,华漕,1253,121.31549471594762,31.22045854423003
西上海御庭,嘉定,安亭,1252,121.21149492264931,31.293619472098847
高行银杏苑,浦东,高行,1252,121.615229710376,31.296319847666574
平阳绿家园,闵行,古美罗阳,1252,121.39771904470079,31.13607285213692
辰丰苑,松江,松江老城,1250,121.19065252803733,31.01620425318541
